Matrix,Convergence,SolverType,PrecisionRequired,Iterations,TimeSpent(ms),OS
vem1.mtx,True,JacobiSolver,0.000001,3299,137931.8801,Linux
vem1.mtx,True,GaussSeidelSolver,0.000001,1695,70823.468,Linux
vem1.mtx,True,GradientSolver,0.000001,2179,94313.5977,Linux
vem1.mtx,True,ConjugateGradientSolver,0.000001,50,1110.7632,Linux
vem1.mtx,True,JacobiSolver,0.00000001,4418,184467.7115,Linux
vem1.mtx,True,GaussSeidelSolver,0.00000001,2266,94493.1425,Linux
vem1.mtx,True,GradientSolver,0.00000001,2907,126329.4576,Linux
vem1.mtx,True,ConjugateGradientSolver,0.00000001,56,1237.2519,Linux
vem1.mtx,True,JacobiSolver,0.0000000001,5537,231334.8903,Linux
vem1.mtx,True,GaussSeidelSolver,0.0000000001,2835,118866.3875,Linux
vem1.mtx,True,GradientSolver,0.0000000001,3635,157393.5532,Linux
vem1.mtx,True,ConjugateGradientSolver,0.0000000001,61,1357.5529,Linux
vem2.mtx,True,JacobiSolver,0.0001,3410,330171.5712,Linux
vem2.mtx,True,GaussSeidelSolver,0.0001,1759,171644.0138,Linux
vem2.mtx,True,GradientSolver,0.0001,2263,227837.7671,Linux
vem2.mtx,True,ConjugateGradientSolver,0.0001,53,2704.2127,Linux
vem2.mtx,True,JacobiSolver,0.000001,5159,501326.2713,Linux
vem2.mtx,True,GaussSeidelSolver,0.000001,2653,258913.2154,Linux
vem2.mtx,True,GradientSolver,0.000001,3397,342276.6111,Linux
vem2.mtx,True,ConjugateGradientSolver,0.000001,63,3208.7077,Linux
vem2.mtx,True,JacobiSolver,0.00000001,6908,671815.8988,Linux
vem2.mtx,True,GaussSeidelSolver,0.00000001,3548,345377.039,Linux
vem2.mtx,True,GradientSolver,0.00000001,4531,456167.7538,Linux
vem2.mtx,True,ConjugateGradientSolver,0.00000001,71,3629.6196,Linux
vem2.mtx,True,JacobiSolver,0.0000000001,8656,838795.2649,Linux
vem2.mtx,True,GaussSeidelSolver,0.0000000001,4443,432471.2498,Linux
vem2.mtx,True,GradientSolver,0.0000000001,5665,570939.4602,Linux
vem2.mtx,True,ConjugateGradientSolver,0.0000000001,77,4003.7708,Linux
